iter	Passed	Remaining
403	9375	2227
404	9398	2204
405	9419	2180
406	9442	2157
407	9468	2135
408	9494	2112
409	9517	2089
410	9539	2065
411	9561	2042
412	9584	2018
413	9605	1995
414	9629	1972
415	9650	1948
416	9675	1925
417	9699	1902
418	9724	1879
419	9748	1856
420	9773	1834
421	9798	1811
422	9823	1788
423	9848	1765
424	9872	1742
425	9895	1719
426	9919	1695
427	9944	1672
428	9969	1649
429	9994	1626
430	10016	1603
431	10043	1580
432	10063	1557
433	10084	1533
434	10111	1510
435	10134	1487
436	10159	1464
437	10181	1441
438	10206	1418
439	10227	1394
440	10251	1371
441	10276	1348
442	10302	1325
443	10326	1302
444	10354	1279
445	10376	1256
446	10402	1233
447	10427	1210
448	10449	1186
449	10473	1163
450	10499	1140
451	10523	1117
452	10547	1094
453	10568	1070
454	10591	1047
455	10617	1024
456	10638	1001
457	10659	977
458	10682	954
459	10705	930
460	10727	907
461	10752	884
462	10774	861
463	10798	837
464	10823	814
465	10843	791
466	10867	767
467	10891	744
468	10917	721
469	10938	698
470	10963	675
471	10986	651
472	11008	628
473	11034	605
474	11053	581
475	11077	558
476	11103	535
477	11128	512
478	11151	488
479	11176	465
480	11196	442
481	11222	419
482	11245	395
483	11269	372
484	11291	349
485	11313	325
486	11338	302
487	11361	279
488	11385	256
489	11407	232
490	11433	209
491	11456	186
492	11476	162
493	11496	139
494	11518	116
495	11543	93
496	11564	69
497	11590	46
498	11613	23
499	11638	0
